steps,stage,train_sr,eval_sr,eval_return,avg_ep_return,avg_ep_len
12288,1,0.150,0.375,-26.92,-41.56,260.0
24576,1,0.200,0.125,-28.57,-29.96,260.0
36864,1,0.150,0.125,-33.83,-36.37,260.0
49152,1,0.250,0.250,-24.23,-32.93,260.0
61440,1,0.100,0.250,-16.63,-28.22,260.0
73728,1,0.250,0.625,-10.79,-24.48,260.0
86016,1,0.500,0.500,-10.04,-14.83,260.0
98304,1,0.700,0.625,-7.48,-8.70,260.0
110592,1,0.800,0.875,-3.79,-7.73,260.0
122880,1,1.000,1.000,-0.61,-2.98,260.0
135168,1,1.000,1.000,-0.05,-1.56,260.0
147456,1,1.000,1.000,0.31,-2.01,260.0
159744,1,1.000,1.000,0.38,-0.24,260.0
172032,1,1.000,1.000,0.58,-1.37,260.0
184320,1,1.000,1.000,0.57,-0.73,260.0
196608,1,1.000,1.000,0.54,-0.73,260.0
